Year,Commercial  (million SF),Educational & Science  (million SF),Hospital  (million SF),Pub. Bldg.  (million SF),Religious  (million SF) ,Soc&Rec  (million SF),Misc.  (million SF),Pub&Institutional
1919,110,,,,,,,47
1920,84,,,,,,,49
1921,65,,,,,,,47
1922,95,,,,,,,98
1923,110,,,,,,,99
1924,112,,,,,,,109
1925,160,61,14,8,19,32,1,
1926,152,54,15,8,16,30,4,
1927,142,54,19,10,17,34,7,
1928,159,61,20,11,15,28,6,
1929,161,59,20,13,13,22,6,
1930,97,57,19,17,11,16,7,
1931,50,37,17,24,6,14,3,
1932,24,14,7,16,4,6,1,
1933,23,6,6,10,3,6,2,
1934,28,17,4,9,3,7,1,
1935,35,26,6,14,4,8,1,
1936,57,42,10,14,4,13,1,
1937,62,36,11,12,6,14,1,
1938,42,57,17,16,5,18,6,
1939,49,34,12,15,6,12,6,
1940,67,25,14,12,7,12,37,
1941,106,24,15,14,9,15,69,
1942,74,31,34,20,3,23,216,
1943,22,12,20,5,1,13,66,
1944,12,10,8,2,1,5,33,
1945,63,13,11,2,5,8,26,
1946,119,26,15,2,8,11,15,
1947,100,41,20,6,12,14,12,
1948,101,72,35,6,21,22,18,
1949,86,79,42,8,25,21,22,
1950,122,111,45,10,29,24,28,
1951,77,110,38,11,25,11,50,
1952,82,107,26,15,22,12,62,
1953,123,124,23,13,28,17,50,
1954,138,154,28,16,34,19,44,
1955,173,155,23,18,37,20,53,
1956,244,200,33,27,48,30,48,
1957,245,207,40,27,50,31,33,
1958,243,201,38,37,51,37,47,
1959,281,181,38,34,54,43,35,
1960,283,196,36,33,53,44,31,
1961,293,194,44,33,53,41,29,
1962,326,191,49,34,53,40,27,
1963,347,197,65,43,48,38,32,
1964,360,202,67,34,50,36,36,
1965,415,225,60,36,45,47,38,
1966,442,245,60,37,45,47,40,
1967,424,242,66,37,41,42,43,
1968,496,234,69,39,39,46,47,
1969,573,221,87,36,33,53,54,
1970,530,195,75,29,27,47,42,
