NAICS,1985,1986,1987,1988
311-312,159.6140424,162.3467132,175.813536,180.4985532
313-314,91.7319612,94.8290336,106.8259668,107.3411788
315-316,19.8295204,20.0018264,20.2532908,20.87291
321,57.203886,60.5957552,70.843356,73.5961576
322,178.9566704,198.8902568,202.1531524,205.3617972
323,42.24909,45.0462476,51.2074666,57.3686856
324,119.877208,126.4500848,114.1170696,117.471748
325,429.44285,408.3727264,424.055302,435.1958232
326,102.70973,106.5274168,112.86896,118.6717484
327,104.1233216,107.9161008,113.658838,116.2932432
331,454.3153064,428.0142456,445.8416044,513.157976
332,95.4476292,93.2851036,107.3029644,112.8068616
333,91.409186,89.6820316,100.6901672,105.4045276
334,101.9242876,106.58235,114.093868,116.572686
335,46.9620856,47.87036,50.7524764,52.4536996
336,117.8381968,122.2560544,130.6495744,143.9498916
337,15.2693824,15.963042,19.4920736,22.0930412
339,11.8935496,12.127954,15.8211028,16.3509864
