NAICS,Calc. Cost of Fuels,Year
311,2123.508372,1998
312,223.38,1998
313,476.12,1998
314,107.888,1998
315,106.93,1998
316,19.657,1998
321,558.5558065,1998
322,3283.576835,1998
323,181.535,1998
324,3493.113896,1998
325,6998.85621,1998
326,521.56,1998
327,1925.481429,1998
331,5028.901392,1998
332,1021.385556,1998
333,443.8885714,1998
334,270.19,1998
335,202.8654308,1998
336,974.8555556,1998
337,196.7333333,1998
339,190.74,1998
311,3242.15,2002
312,304.21,2002
313,493.8533333,2002
314,178.489,2002
315,93.637,2002
316,23.4,2002
321,457.3863591,2002
322,3889.407308,2002
323,245.022,2002
324,4011.354483,2002
325,8477.771429,2002
326,769.56,2002
327,2657.13,2002
331,4587.243708,2002
332,1169.326667,2002
333,503.245,2002
334,369.5020367,2002
335,283.617,2002
336,1064.185484,2002
337,155.79,2002
339,179.945,2002
311,5754.778525,2006
312,505.97,2006
313,774.061,2006
314,455.192,2006
315,66.818,2006
316,19.1765,2006
321,1283.313704,2006
322,6986.86,2006
323,318.725,2006
324,8217.706971,2006
325,16235.25542,2006
326,1403.54,2006
327,5491.415,2006
331,6956.039023,2006
332,2292.74,2006
333,1153.88,2006
334,463.705,2006
335,422.76,2006
336,2022.3,2006
337,205.884,2006
339,312.58,2006
311,4766.45,2010
312,368.48,2010
313,347.9014286,2010
314,74.789,2010
315,21.086,2010
316,13.502,2010
321,959.5478947,2010
322,4480.633361,2010
323,261.595,2010
324,6596.074231,2010
325,12338.11,2010
326,790.23,2010
327,2946.984359,2010
331,6412.76098,2010
332,1277.067667,2010
333,616.36,2010
334,284.225,2010
335,283.7515,2010
336,1061.303333,2010
337,139.375,2010
339,156.566,2010
311,4511.206279,2014
312,360.635,2014
313,310.239,2014
314,195.1333333,2014
315,18.777,2014
316,17.475,2014
321,813.6447451,2014
322,4306.542302,2014
323,292.1166667,2014
324,10507.5651,2014
325,12888.00806,2014
326,703.409,2014
327,3252.155158,2014
331,5852.626131,2014
332,1417.28,2014
333,794.895,2014
334,386.366,2014
335,208.648,2014
336,1208.982,2014
337,155.53,2014
339,233.329,2014
