Years,occupied_units_sf,occupied_units_mf,occupied_units_mh,avg_size_sqft_sf,avg_size_sqft_mf,avg_size_sqft_mh,Region
1970,44038,17332,2073,,,,National
1971,45101.8,17674.6,2434.8,,,,National
1972,46342.9,18074.3,2856.9,,,,National
1973,47192.40458,18703.27896,3367.873338,,,,National
1974,48002.47448,18946.65946,3860.364889,,,,National
1975,49260.43734,19750.69566,3509.532866,,,,National
1976,50067.02849,20137.25885,3843.43814,,,,National
1977,50592.4025,20817.14642,3956.401069,,,,National
1978,51632.71136,21670.60187,3975.566273,,,,National
1979,53083.77724,21641.04988,3963.572336,,,,National
1980,54097.80599,21946.90259,4181.500278,,,,National
1981,56049.10149,23001.80266,4340.549406,,,,National
1982,56289.09256,23337.13226,4446.70367,,,,National
1983,56673.36829,23685.89168,4581.760808,,,,National
1984,57632.25728,23764.4619,4739.362963,,,,National
1970,8412,6828,241,2164.674379,848.5602533,685.416662,Northeast
1971,8567.4,6836.1,278.8,2167.868179,851.1269167,706.4311419,Northeast
1972,8748.7,6845.55,322.9,2171.14955,853.7742968,727.5034942,Northeast
1973,8987.513579,6754.758881,381.4049861,2172.241001,856.3244896,748.6583381,Northeast
1974,9195.68893,6665.037684,406.1560968,2173.687866,858.4829911,769.8963975,Northeast
1975,9345.67493,6786.78063,349.0322775,2177.340001,860.5634673,777.7620656,Northeast
1976,9425.259043,6740.382385,353.06421,2180.439833,862.8709185,784.5857751,Northeast
1977,9455.49537,6794.983705,362.5750004,2183.949787,865.4309836,792.4753595,Northeast
1978,9577.641738,6977.518568,372.2113927,2187.378248,868.1029593,799.7202442,Northeast
1979,9799.956411,6922.16273,377.4395784,2189.749966,870.6936446,807.1508016,Northeast
1980,9967.9555,6892.295085,384.966069,2192.330356,873.1135055,814.150158,Northeast
1981,10416.37191,7012.432418,410.0281512,2189.112708,874.7409418,818.5130476,Northeast
1982,10472.25385,7144.174189,413.5392191,2186.952375,875.9904218,822.5678408,Northeast
1983,10545.10389,7245.706866,416.2961195,2185.052643,877.3141738,826.5835861,Northeast
1984,10611.33212,7267.562196,434.9781145,2184.463483,878.7877182,830.7905731,Northeast
1970,12707,4330,499,1719.891077,819.3875215,660.2577234,Midwest
1971,12944.9,4387.3,565.3,1726.635829,821.3948721,680.5008448,Midwest
1972,13222.45,4454.15,642.65,1733.478854,823.4777752,700.7997142,Midwest
1973,13434.68332,4629.217409,753.0469136,1738.59799,825.4646086,721.1780474,Midwest
1974,13638.02869,4607.196581,842.8922469,1744.022712,827.0718085,741.6365415,Midwest
1975,13922.6938,4801.054585,780.5670617,1751.243085,828.6020428,749.2134919,Midwest
1976,14162.35843,4895.746325,796.0061399,1758.048939,830.3489482,755.78673,Midwest
1977,14167.38164,5003.227974,840.6213937,1765.215056,832.3368117,763.3867189,Midwest
1978,14339.17399,5187.811807,820.2784362,1772.34572,834.4299753,770.3656726,Midwest
1979,14846.17563,5073.126834,828.8913415,1778.648458,836.4426577,777.5234836,Midwest
1980,15042.25047,5160.792795,839.7062002,1785.147469,838.2890337,784.2659212,Midwest
1981,15538.48815,5371.892365,882.6525102,1786.940975,839.3729204,788.4686663,Midwest
1982,15509.41406,5428.156473,903.8803091,1789.603732,840.0931042,792.3746241,Midwest
1983,15468.85237,5491.903535,929.4962962,1792.488631,840.8836561,796.2429673,Midwest
1984,15547.30031,5435.183267,956.4582624,1796.460789,841.816799,800.2955324,Midwest
1970,15063,3326,868,1583.290062,839.1280412,713.1380354,South
1971,15532.8,3434.9,1053.7,1590.670644,841.1837525,735.0024367,South
1972,16080.9,3561.95,1270.35,1598.149683,843.3168365,756.9270509,South
1973,16351.6706,3936.723439,1554.026089,1604.046224,845.3515363,778.9374931,South
1974,16531.06682,4243.922834,1792.394338,1610.23054,846.9974565,801.0345164,South
1975,16991.99552,4627.053434,1603.322422,1618.080004,848.5645569,809.2183079,South
1976,17249.72604,4881.965767,1780.646255,1625.554638,850.3535484,816.3179993,South
1977,17598.28451,5179.056076,1815.440636,1633.370504,852.3893032,824.5266745,South
1978,18119.09926,5374.85425,1847.009643,1641.16189,854.5328948,832.0645754,South
1979,18578.65717,5383.280786,1887.876802,1648.194361,856.5940664,839.7956584,South
1980,19025.84587,5534.024111,2034.520109,1655.416002,858.4849249,847.0781007,South
1981,19706.12547,5989.947765,2103.896056,1658.278356,859.5949244,851.6174454,South
1982,19795.61259,6080.890778,2179.524921,1661.949048,860.3324587,855.8362329,South
1983,19934.15503,6192.164681,2274.293278,1665.828439,861.1420564,860.0143933,South
1984,20463.0364,6228.166431,2344.778018,1670.721537,862.0976804,864.39153,South
1970,7856,2848,465,1600.405642,771.0080492,692.7328614,West
1971,8056.7,3016.3,537,1605.796422,772.3793674,713.9716518,West
1972,8290.85,3212.65,621,1611.272609,773.8191526,735.2689323,West
1973,8418.537085,3382.579228,679.3953498,1615.141291,775.1660973,756.6495849,West
1974,8637.690038,3430.502358,818.9222081,1619.289445,776.1542766,778.1143412,West
1975,9000.073081,3535.807015,776.6111048,1625.099347,777.0682518,786.0639681,West
1976,9229.684975,3619.164374,913.7215356,1630.518414,778.1833579,792.9605145,West
1977,9371.240986,3839.87867,937.7640395,1636.265473,779.5219311,800.9343131,West
1978,9596.796368,4130.417245,936.0668007,1641.973377,780.9565515,808.2565304,West
1979,9858.988026,4262.479529,869.3646136,1646.908415,782.3132614,815.7664022,West
1980,10061.75415,4359.790597,922.3078994,1652.019676,783.5119959,822.8404704,West
1981,10388.11595,4627.530116,943.9726893,1652.773131,783.9962188,827.2499298,West
1982,10511.81205,4683.910821,949.7592208,1654.329305,784.1395972,831.3480043,West
1983,10725.25699,4756.116602,961.6751142,1656.089013,784.347705,835.406614,West
1984,11010.58845,4833.55001,1003.148568,1658.85077,784.6877309,839.6585068,West
