Year,Single-Unit Truck,Combination Truck,"Old Series from 2001 Eno, Trans. In America",Class I Rail,Form 41 Carrier - Domestic & International,Domestic Vessel,International Vessel (in US Waters),Total Commerce - US Waters,Oil Pipeline,Natural Gas
1949,,,,,,,,,,57425.93309
1950,,201009.5238,173000,,,,,,129000,65444.87939
1951,,218438.0952,188000,646620,,,,,152000,75925.35464
1952,,226571.4286,195000,,,,,,158000,82233.55629
1953,,252133.3333,217000,,,,,,170000,87168.55522
1954,,247485.7143,213000,,,,,,179000,93242.01875
1955,,259104.7619,223000,623615,,,,,203000,101601.7283
1956,,289314.2857,249000,,,,,,230000,110945.294
1957,,295123.8095,254000,,,,,,223000,118033.0356
1958,,297447.619,256000,,676.532,,,,211000,122802.5404
1959,,324171.4286,279000,,795.481,,,,227000,135140.1766
1960,,331142.8571,285000,572309,820.778,,,,229000,144162.4874
1961,,343923.8095,296000,563361,962.021,,,,233000,150274.8703
1962,,359028.5714,309000,592862,1318.437,474969.5,43495.615,518465.115,238000,159877.7505
1963,,390400,336000,621737,1275.31,481576.807,45906.463,527483.27,253000,168498.2323
1964,,413638.0952,356000,658639,1555.463,488828.505,53690.725,542519.23,269000,180606.4899
1965,,417123.8095,359000,697878,2180.16,489802.955,55535.589,545338.544,306000,189153.5484
1966,,442685.7143,381000,738395,2950.026,507084.466,57936.952,565021.418,333000,206657.9919
1967,,451980.9524,389000,719498,3437.648,515387.449,54692.312,570079.761,361000,217599.182
1968,,460114.2857,396000,744023,3766.707,520632.869,60157.438,580790.307,391000,233321.3875
1969,,469409.5238,404000,767841,4327.771,528896.987,57424.188,586321.175,411000,251033.8546
1970,39818.3494,478704.7619,412000,764809,3755.438,596195.411,62756.357,658951.768,431000,264069.443
1971,42617.88181,517047.619,445000,739743,4554.26,593163.653,61599.92,654763.573,444000,272660.7249
1972,46189.34411,546095.2381,470000,776746,5111.502,603542.448,66476.841,670019.289,476000,276028.0908
1973,49493.20406,586761.9048,505000,851809,5182.778,584691.483,81806.384,666497.867,507000,275271.9053
1974,49169.72867,575142.8571,495000,850961,5251.383,586345.243,69819.094,656164.337,506000,264881.6125
1975,50882.67786,527504.7619,454000,754252,5062.409,565984.223,73466.504,639450.727,507000,243795.9756
1976,53505.76916,592571.4286,510000,794059,6524.781,591853.482,85327.501,677180.983,515000,246648.8365
1977,57841.80964,644857.1429,555000,826292,6974.242,599000.036,93527.384,692527.42,546000,240608.1969
1978,62852.73741,695980.9524,599000,858105,7395.423,827263.262,101034.394,928297.656,586000,242279.2307
1979,61772.03555,706438.0952,608000,913669,7579.883,828759.49,103086.891,931846.381,608000,251889.6782
1980,58538.75206,644857.1429,555000,918958,7883.229,921835.8,94249.4,1016085.2,588000,252930.5736
1981,58178.51811,612323.8095,527000,910169,7917.192,929413.4,94223.1,1023636.5,564000,247622.5013
1982,59781.1916,604190.4762,520000,797759,7807.403,886468.7,78428.2,964896.9,566000,226257.8612
1983,62557.19853,668095.2381,575000,828275,8496.903,919565.6,69596,989161.6,556000,213363.9959
1984,65311.15032,704114.2857,606000,921542,9327.544,887720,78758.2,966478.2,568000,226947.1909
1985,66813.84051,708761.9048,610000,876984,9047.799,892970,71941.2,964911.2,564000,219535.9589
1986,67102.02767,734323.8095,632000,867722,10987.513,873401,71509.4,944910.4,578000,205687.1736
1987,70608.7949,770342.8571,663000,943747,13136.973,895415.5,72988.2,968403.7,587000,215802.6703
1988,72684.91873,813333.3333,700000,996182,14632.309,890028.4,80656.6,970685,601000,226598.6522
1989,74796.33078,831923.8095,716000,1013841,16347.294,815549.9,95682.3,911232.2,584000,241872.0005
1990,76312.25405,854000,735000,1033969,16403.524,833543.8,98607.6,932151.4,584000,239894.2492
1991,77778.18568,874000,758,1038875,16149.708,848399,90272.3,938671.3,579000,247588.511
1992,79213.24011,896000,815,1066781,17306.619,856684.6,92660.1,949344.7,589000,256449.8959
1993,83474.29312,936000,861,1109309,19082.941,789657.9,92947.9,882605.8,593000,263724.1533
1994,90108.47917,996000,908,1200701,21772.967,814919.2,94485.8,909405,591000,269894.9084
1995,92200.77677,1042000,921,1305688,23374.677,807727.7,106634.9,914362.6,601000,281674.441
1996,94207.79449,1071000,972,1355975,24892.479,764686.5,105506.9,870193.4,619200,286695.0264
1997,98355.63111,1119000,996,1348926,27610.097,707409.9,106390.2,813800.1,616500,288565.6279
1998,100014.1776,1149000,1027,1376802,28015.071,672795.3,107704.5,780499.8,619800,283776.7953
1999,103370.9699,1186000,1059,1433461,25147.844,655861.5,108585.9,764447.4,617700,287151.4231
2000,103659.1571,1203000,1074,1465960,30221.261,645799.3,117622,763421.3,577300,299080.2461
2001,106523.3846,1224000,1051,1495472,27882,621686,115244,736930,576100,284572.5251
2002,111549.0157,1255000,,1507011,30507,612081,109341,721422,586200,294734.9806
2003,114329.4337,1264000,,1551438,32446,606146,108294,714440,590200,285511.3942
2004,115335.1481,1283930.365,,1662598,37958,621170,122366,743536,599600,287762.928
2005,115416.0169,1298882.648,,1696425,39292,591277,113899,705176,607500,282072.4933
2006,118133.2101,1282117.694,,1771897,39754,561629,120359,681988,581300,277121.0963
2007,119979,1302150.332,,1770545,39842,553151,116879,670030,557700,295045.6552
2008,126855,1299513.499,,1777236,35529,520520,113403,633923,605700,297142.3723
2009,120207,1188342.341,,1532214,30317,477121.5,94177.8,571299.3,568400,291092.2771
2010,110738,1242697.869,,1691004,35209,502212,103393,605605,550000,307231.821
2011,103803,1157880.906,,1729256,35713,499748,104558,604306,550000,311952.7842
2012,105605,1156544.816,,1712567,34937,474758,102231.7,576989.7,550000,325065.2672
2013,106582,1191495.23,,1740687,33561,465091,99575.7,564666.7,550000,331001.0897
2014,109301,1200572.158,,1851229,34471,504494,104323.7,608817.7,550000,338528.8855
2015,109597,1203512.969,,1738283,35011,491000,,,550000,346973.7233
2016,113338,1233988.542,,1575440,35920,478000,,,550000,350068.2926
2017,116102,1282999.711,,1674784,39867,489000,,,550000,344900.5689
2018,,,,1729638,42629,,,,550000,382226.6235
